,Comment,Rating
0,máy đẹp để màn 120hz tụt pin hơi nhanh so với note 10 nếu để 60hz chắc pin trâu hơn,Positive
1,mua tặng bx gọn nhẹ màn oled đẹp cam đỉnh khá hài lòng với samsung và tgdd,Positive
2,về hiểu năng máy thì cũng ngon tuy không phải là xuất sắc về tính năng camera zoom chống rung và chụp đêm phải nói là bá đạo máy này chỉ tiếc là không chống nước về giá tiền thì hơi chát tí vậy thôi nói chung cũng đáng bỏ tiền ra để mua nếu muốn trải nghiệm 1 đt ngon gần bằng máy ảnh cơ khoảng 20 củ,Positive
3,hiệu năng tốt nhưng pin quá tệ sạc pin lúc 6h sáng tới 2h chiều phải sạc lại,Normal
4,mua tặng bx gọn nhẹ màn oled đẹp cam đỉnh khá hài lòng với samsung và tgdd,Positive
5,mình mơi mua được nửa tháng nhưng không phải ở tgdd cảm giác tệ máy tụt pin nhanh được cái sạc cũng nhanh ứng dụng giải trí thì trải nghiệm tốt chỉ có 2 điểm chê là pin tuột nhanh và chơi liên quân rất tệ lag hơn cả cái a8 star cũ nữa mặc dù đã hạ cấu hình xuống thấp nhất nếu để trung binh là nghỉ chơi luôn đứng hình liên tục,Normal
6,chụp hình bá đạo chống rung và zoom rất ổn hiệu năng khá máy không nóng pin trâu phần mềm khá ưng,Positive
7,trước mua con samsung a51 về ko đáp ứng được nhu cầu làm việc đổi sang em này dùng ngon hẳn đúng là dùng nhiều hãng vẫn ưng ý nhất với dòng ip xử lí nhanh mượt ko đơ máy e này nhỏ gọn dùng ngon chụp ảnh đẹp nói chung ưng ta ko có gì để chê bác nào có nhu cầu mua e khuyên nên mua thêm cái sạc ko dây loại ngon 1 củ nữa dùng mượt khỏi phải nói,Positive
8,máy đẹp để màn 120hz tụt pin hơi nhanh so với note 10 nếu để 60hz chắc pin trâu hơn,Positive
9,máy chụp hình đẹp,Positive
10,máy tạm game lag giật liên tục pin tut nhanh khá thất vọng với siêu phẩm cua nhà samsung chờ bản cập nhật mới xem ntn,Positive
11,rất ngon camera chụp nét pin trâu sạc nhanh màn hình nét chip chơi game khá tốt nói chung là hoàn hảo,Positive
