Comment,Rating
"Máy đẹp , để màn 120hz tụt pin hơi nhanh so với note 10+ , nếu để 60hz chắc pin trâu hơn",5/5
"Mua tặng bx. Gọn nhẹ, màn oled đẹp, cam đỉnh. Khá hài lòng với Samsung và TGDD..",5/5
"Về hiểu năng máy thì cũng ngon tuy không phải là xuất sắc, về tính năng camera zoom chống rung và chụp đêm phải nói là bá đạo máy này chỉ tiếc là không chống nước, về giá tiền thì hơi chát tí vậy thôi. Nói chung cũng đáng bỏ tiền ra để mua nếu muốn trải nghiệm 1 đt ngon gần bằng máy ảnh cơ khoảng 20 củ",4/5
"Hiệu năng tốt, nhưng pin quá tệ. Sạc pin lúc 6h sáng, tới 2h chiều phải sạc lại.",3/5
Xài đc 8 tiếng còn đòi cái j nữa ,0/5
Mua cục gạch Sài cho nó lâu .nc ra biết mày ngu như nào rồi,0/5
"Pin chạy như ngựa, zay nói pin trâu, nhân viên tgdd ha ma noi zay ",0/5
"Mua tặng bx. Gọn nhẹ, màn oled đẹp, cam đỉnh. Khá hài lòng với Samsung và TGDD..",5/5
"Pin chạy như ngựa, zay nói pin trâu, nhân viên tgdd ha ma noi zay ",0/5
"Mình mơi mua được nửa tháng nhưng không phải ở TGDD, cảm giác tệ, máy tụt pin nhanh ( được cái sạc cũng nhanh) ứng dụng giải trí thì trải nghiệm tốt.
Chỉ có 2 điểm chê là pin tuột nhanh và chơi Liên Quân rất tệ, lag hơn cả cái A8 Star cũ nữa mặc dù đã hạ cấu hình xuống thấp nhất, nếu để trung binh là nghỉ chơi luôn đứng hình liên tục",3/5
Mua bản Snapdragon ấy pin rốt game mượt hơn,0/5
Tại chip Exynos thôi thớt ơi,0/5
"Vào cài đặt game bật cái FPS cao là đánh mượt thôi, không cần chỉnh cấu hình xuống thấp nhất đâu.",0/5
"Dùng hơn 1 tháng này mới đáng giá
- Lúc có ý định mua xem nhiều clip thấy có nhiều reviewer Việt Nam chê tê tái, hoang mang lắm; rồi xem các clip của reviewer nước ngoài đánh giá trung thực, thích mua luôn rồi thì thấy chụp hình bá đạo, chống rung và zoom rất ổn, hiệu năng khá, máy không nóng, pin trâu, phần mềm khá ưng.
- Lúc đầu chưa quen máy, cứ ngỡ điện thoại bị lỗi phần mềm. Nên liên hệ trung tâm chăm sóc khách hàng (TTCSKH) của ViVo để tư vấn, TTCSKH VIVO tư vấn, hướng dẫn rất chu đáo.
- Nhân viên Thế giới Di Động nhiệt tình.
",5/5
Trước mua con samsung A51 về Ko đáp ứng được nhu cầu làm việc. Đổi sang em này dùng ngon hẳn. Đúng là dùng nhiều hãng vẫn ưng ý nhất với dòng ip. Xử lí nhanh mượt Ko đơ máy. E này nhỏ gọn dùng ngon chụp ảnh đẹp. Nói chung ưng ta Ko có gì để chê. Bác nào có nhu cầu mua e khuyên nên mua thêm cái sạc Ko dây loại ngon 1 củ nữa. Dùng mượt khỏi phải nói. ,5/5
"Máy đẹp , để màn 120hz tụt pin hơi nhanh so với note 10+ , nếu để 60hz chắc pin trâu hơn",5/5
