Comment,Rating
"Máy đẹp , để màn 120hz tụt pin hơi nhanh so với note 10+ , nếu để 60hz chắc pin trâu hơn",5/5
"Mua tặng bx. Gọn nhẹ, màn oled đẹp, cam đỉnh. Khá hài lòng với Samsung và TGDD..",5/5
"Về hiểu năng máy thì cũng ngon tuy không phải là xuất sắc, về tính năng camera zoom chống rung và chụp đêm phải nói là bá đạo máy này chỉ tiếc là không chống nước, về giá tiền thì hơi chát tí vậy thôi. Nói chung cũng đáng bỏ tiền ra để mua nếu muốn trải nghiệm 1 đt ngon gần bằng máy ảnh cơ khoảng 20 củ",4/5
"Hiệu năng tốt, nhưng pin quá tệ. Sạc pin lúc 6h sáng, tới 2h chiều phải sạc lại.",3/5
"Mua tặng bx. Gọn nhẹ, màn oled đẹp, cam đỉnh. Khá hài lòng với Samsung và TGDD..",5/5
"Mình mơi mua được nửa tháng nhưng không phải ở TGDD, cảm giác tệ, máy tụt pin nhanh ( được cái sạc cũng nhanh) ứng dụng giải trí thì trải nghiệm tốt.
Chỉ có 2 điểm chê là pin tuột nhanh và chơi Liên Quân rất tệ, lag hơn cả cái A8 Star cũ nữa mặc dù đã hạ cấu hình xuống thấp nhất, nếu để trung binh là nghỉ chơi luôn đứng hình liên tục",3/5
"Chụp hình bá đạo, chống rung và zoom rất ổn, hiệu năng khá, máy không nóng, pin trâu, phần mềm khá ưng.",5/5
Trước mua con samsung A51 về Ko đáp ứng được nhu cầu làm việc. Đổi sang em này dùng ngon hẳn. Đúng là dùng nhiều hãng vẫn ưng ý nhất với dòng ip. Xử lí nhanh mượt Ko đơ máy. E này nhỏ gọn dùng ngon chụp ảnh đẹp. Nói chung ưng ta Ko có gì để chê. Bác nào có nhu cầu mua e khuyên nên mua thêm cái sạc Ko dây loại ngon 1 củ nữa. Dùng mượt khỏi phải nói.,5/5
"Máy đẹp , để màn 120hz tụt pin hơi nhanh so với note 10+ , nếu để 60hz chắc pin trâu hơn",5/5
Máy chụp hình đẹp. ,4/5
"Máy tạm,game lag,giật liên tục,pin tut nhanh,khá thất vọng với siêu phẩm cua nhà samsung.chờ bản cập nhật mới xem ntn",4/5
"Rất ngon, camera chụp nét, pin trâu, sạc nhanh, màn hình nét, chip chơi game khá tốt, nói chung là hoàn hảo",5/5
"Điện thoại XS mình mua từ 03.09.20 den nay chưa đến 1 tháng mà bin đã tụt còn 98% , Mình ko dùng máy nhiều vì đang dùng song song cùng 1 máy cũ nữa, chỉ nghe gọi, zl,fb  và ko chơi game , ios thì vẫn nguyên bản Chưa nâng cấp .Sao dung lượng bin tối đa lại tụt nhanh vậy ạ",3/5
"Mình đang dùng iphone 11 mà thấy samsung note 10+ này đẹp quá nên phải mua luôn, máy quá đẹp, 100đ, hiệu năng thì chưa biết như thế nào nhưng mà đẹp, cảm thấy đẹp nhất trong tất cả các loại máy",5/5
"nhiều bạn chưa dùng mà chê nhiều quá, điện thoại bây giờ đâu chỉ so sánh mỗi cấu hình, đâu phải ai mua máy cũng chỉ để game đâu. đáng giá của x50 pro này là camera chứ đâu phải cấu hình.",5/5
