Comment,Rating
pin 7 ngày nếu chỉ xem giờ và đếm bước chân không kết nối điện thoại kết nối ít thì dùng 4 5 ngày bật hết ứng dụng vừa đủ 1 ngày tóm lại pin hơi yếu đo bước chân nhịp tim tương đối chính xác máy samsung tương thích với đồng hồ này nên xài khá ổn nói chung sản phẩm khá tốt nhưng không có nhiều tính năng như mi4,Positive
cho mình hỏi máy không có đèn led báo pin hay sao vậy trung tâm nếu có xin chỉ dẫn,Positive
đã mua và đang xài bản xách tay hồng kông chip snapdragon pin k trâu bằng note 10 n9760 nhưng xài trên 1 ngày là ok rồi rất hài lòng,Positive
vừa chọn 1 con màu xanh tôi từ 5s model 2014 cổ đại lên 11 nên không có gì để chê chụp ảnh quay phim đều tốt âm thanh nghe hay hơn về phần pin tôi không chơi game nên sử dụng gần 3 ngày để qua đêm pin sụt 2 3 hài lòng bạn nào cần bền bỉ cần pin lâu không quá qua tâm về màn hình thì chọn em này,Positive
tai nghe êm chính sách bảo hành tốt mẫu mã đẹp sang trọng thiết kế nhỏ gọn bắt sóng nhanh,Positive
cảm giác đầu tiên là nhẹ rất nhẹ dây đeo thoải mái ít có cảm giác là đang đeo một thiết bị hỗ trợ theo dõi sức khỏe trong người đo nhịp tim tương đối chính xác kết nối với iphone qua bluetooth bằng ứng dụng samsung galaxy fit ổn định xem giờ xem thời tiết ổn định nhẹ nhàng mình mua hàng tại thegioididong tuy là hàng đổi trả nhưng vẫn được samsung bảo hành chính hãng 1 năm nói chung là ok mình hài lòng và yên tâm về chất lượng cũng như về hậu mãi của sản phẩm này,Positive
tốt sạc 1 lần sài hơn 10 ngày vẫn còn 30 dùng để tập thể dục hàng ngày rất tốt,Positive
laptop khá hợp túi tiền thiết kế mỏng nhẹ và sang trọng chắc chắn tuy nhiên pin máy và máy không xử lý nhanh như các dòng khác,Positive
dặt tại thê giới di dông nhung giao diẹn máy xamh không hổ trợ sạc nhanh s7 edge không hiển thị công 1a và 2a,Negative
loa trong thì bt còn bật loa ngoài thì đầu dây bên kia ko nghe đc j luôn mai phải xuống bảo hành,Negative
đã mua và đang trải nghiệm thực sự rất hài lòng màn hình đẹp pin lâu sạc nhanh samsung dex rất tiện thời gian này ko có kèm bàn phím nên giá hơi chát,Positive
mình mua máy tính bảng này tại tgdd mình thấy cái gì cũng ổn nhưng mình thấy tệ nhất là máy này hỗ trợ xem video trên youtube chỉ có 720p nhìn mờ câm đã nâng cấp phần mềm lên 7 0 thì phải nâng luôn độ phân giải để video chứ 1 số dòng khác họ nâng cấp 7 0 và họ nâng luôn độ phân giải xem video 1080 luôn thấy hơi tiếc tiền với máy này,Negative
